site,watershed,date,latitude,longitude,ph_sonde,ph_lab,temp_deg_c_sonde,temp_lab_deg_c,spc_u_scm_sonde,conductivity_lab_u_scm,alkalinity_mg_ca_co3l,aluminum_dis_ug_l,aluminum_org_ug_l,ali_ug_l,antimony_dis_ug_l,arsenic_dis_ug_l,barium_dis_ug_l,bromide_ug_l,cadmium_dis_ug_l,calcium_dis_mg_l,cerium_dis_ug_l,chloride_mg_l,chromium_dis_ug_l,cobalt_dis_ug_l,copper_dis_ug_l,fluoride_ug_l,hardness_mg_ca_co3l,iron_dis_ug_l,lead_dis_ug_l,lithium_dis_ug_l,magnesium_dis_mg_l,manganese_dis_ug_l,nickel_dis_ug_l,nitrate_ug_l,nitrite_ug_l,phosphate_ug_l,phosphorus_dis_ug_l,potassium_dis_mg_l,selenium_dis_ug_l,silver_dis_ug_l,sodium_dis_mg_l,sulfate_mg_l,tds_mg_l,titanium_dis_ug_l,uranium_dis_ug_l,vanadium_dis_ug_l,zinc_dis_ug_l,avg_dic_mg_l,avg_doc_mg_l,avg_turbidity_ntu,avg_colour_colour_units,cens_ph_sonde,cens_ph_lab,cens_temp_deg_c_sonde,cens_temp_lab_deg_c,cens_spc_u_scm_sonde,cens_conductivity_lab_u_scm,cens_alkalinity_mg_ca_co3l,cens_aluminum_dis_ug_l,cens_aluminum_org_ug_l,cens_ali_ug_l,cens_antimony_dis_ug_l,cens_arsenic_dis_ug_l,cens_barium_dis_ug_l,cens_bromide_ug_l,cens_cadmium_dis_ug_l,cens_calcium_dis_mg_l,cens_cerium_dis_ug_l,cens_chloride_mg_l,cens_chromium_dis_ug_l,cens_cobalt_dis_ug_l,cens_copper_dis_ug_l,cens_fluoride_ug_l,cens_hardness_mg_ca_co3l,cens_iron_dis_ug_l,cens_lead_dis_ug_l,cens_lithium_dis_ug_l,cens_magnesium_dis_mg_l,cens_manganese_dis_ug_l,cens_nickel_dis_ug_l,cens_nitrate_ug_l,cens_nitrite_ug_l,cens_phosphate_ug_l,cens_phosphorus_dis_ug_l,cens_potassium_dis_mg_l,cens_selenium_dis_ug_l,cens_silver_dis_ug_l,cens_sodium_dis_mg_l,cens_sulfate_mg_l,cens_tds_mg_l,cens_titanium_dis_ug_l,cens_uranium_dis_ug_l,cens_vanadium_dis_ug_l,cens_zinc_dis_ug_l,cens_avg_dic_mg_l,cens_avg_doc_mg_l,cens_avg_turbidity_ntu,cens_avg_colour_colour_units,yday
UL-WR,WRSH,2021-11-17,45.012432,-62.664386,4.9,5.682,4.3,16,22.9,27.4,3.4,110.5052497,102.6708071,7.8344425999999885,2,0.473684436,2.74642941,9,0.4,1.151298605,0.443992159,3.6548,0.4,0.4,0.7,17.0691,4.793913998,109.2035072,0.4,1.101466851,0.46603239,5.393331474,0.4,89.7965,9,12.3994,10,0.300119385,1,0.4,2.667160026,1.2739,18.266484,0.721234377,0.4,0.4,11.06694092,NA,7.003,0.877,48.5,none,none,none,none,none,none,none,none,none,none,left,none,none,left,left,none,none,none,left,left,left,none,none,none,left,none,none,none,left,none,left,none,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.8794520547945206
WRC,WRSH,2021-08-24,45.055111,-62.798873,4.37,4.7744,23.9,18.1,18.1,28.7,19.133142,422.0307467051089,243.93037227304703,178.1003744320619,2,1.0322558074832382,3.865869488043398,25.1521,0.4,1.09411068590152,1.3614436482885728,3.2771,0.42514554471052923,0.6670028023449612,2.9220516252951887,15.9299,4.886581417473373,1322.9377792297526,0.734498078283975,0.7999924509121559,0.523212004559805,159.80418885816923,1.0432529758087206,51.0474,9,10,19.60799748356932,0.2658855714266641,1,0.4,3.0194075919646255,0.7209,19.133142,3.941773608180178,0.4,0.4569543877885481,11.066342440904764,NA,16.78,2.045,263,none,none,none,none,none,none,none,none,none,none,left,none,none,none,left,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,left,left,none,none,left,left,none,none,none,none,left,none,none,none,none,none,none,0.6465753424657534
WRC,WRSH,2021-09-14,45.055111,-62.798873,4.2,4.6447,19,18.1,NA,33.2,0.74,430.26179472995295,367.2588432196202,63.002951510332764,2,0.6657659914703333,4.20805236865275,11.8563,0.4,1.013428296856,1.401935563793872,2.511,0.4,0.6786620846923613,0.7,13.227,4.534212597736128,1186.1760398878714,0.94048297404338,0.5587398201358832,0.48656681410556,130.96825850180613,0.8700994025904025,16.0549,9,10,10,0.18120488112023347,1,0.4,2.3006271946535337,0.5739,22.133112000000004,3.526415505153993,0.4,0.40874913460406637,4.983303634234493,1.623,21.785,0.2585,152,none,none,none,none,none,none,none,none,none,none,left,none,none,none,left,none,none,none,left,none,left,none,none,none,none,none,none,none,none,none,left,left,left,none,left,left,none,none,none,none,left,none,none,none,none,none,none,0.7041095890410959
WRC,WRSH,2021-09-23,45.055111,-62.798873,4.7,4.8022,21,17.8,NA,28.6,2.047,328.6868483722336,286.2020650465415,42.48478332569209,2,0.6660615244054744,3.281341372946842,17.4558,0.4,0.976830183957644,1.041942068398904,3.0115,0.4,0.5867280316762002,2.0766976881608157,18.365,4.198748733196983,858.4072050290736,0.8661157489018224,0.5602737927175909,0.427295717303241,186.67526831894256,0.739475042635486,22.6328,9,10,10,0.21822051523520178,1,0.4,2.4752773898815614,0.7073,19.066476,2.3927036189909905,0.4,0.4,12.724874355865825,NA,16.575,0.1765,211.5,none,none,none,none,none,none,none,none,none,none,left,none,none,none,left,none,none,none,left,none,none,none,none,none,none,none,none,none,none,none,left,left,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.7287671232876712
WRC,WRSH,2021-09-29,45.055111,-62.798873,4.2,4.7784,15.5,17.2,NA,33.1,1.401,399.5049548169001,319.81424777778136,79.69070703911876,2,0.6852969111031639,4.084731380239966,14.8009,0.4,1.09600464350403,1.3208493477640588,3.4659,0.4,0.6399566757328332,0.8207054722253362,11.8531,4.906753149907155,1102.7502628320526,0.6090802520531805,0.7175044012737047,0.526962009489459,167.64331390566286,0.8123414273665482,130.0616,9,10,10,0.26880570816230587,1,0.4,2.708044253056912,0.7033,22.066446000000003,3.2884207984605895,0.4,0.4,8.485615614854447,1.3035,17.89,0.249,215,none,none,none,none,none,none,none,none,none,none,left,none,none,none,left,none,none,none,left,none,none,none,none,none,none,none,none,none,none,none,left,left,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.7452054794520548
WRC,WRSH,2021-10-06,45.055111,-62.798873,4.9,4.7422,13,17.2,NA,33.9,1.156,335.0951496537326,283.3147581448037,51.780391508928915,2,0.5854041716393683,3.513285162661802,13.0419,0.4,0.985284778725728,1.1108058487386352,3.3826,0.4,0.5672082481205788,0.7,14.6103,4.472731680920742,916.5420705200438,0.5328706562907252,0.6133590475339441,0.488702182720398,122.68308390898645,0.70220239107447735,26.6262,9,10,10,0.18447085974251312,1,0.4,2.481362717493209,0.6701,22.599774,2.976869602306038,0.4,0.4,4.276925725317311,1.4022500000000002,17.93,1.0155,147.5,none,none,none,none,none,none,none,none,none,none,left,none,none,none,left,none,none,none,left,none,left,none,none,none,none,none,none,none,none,none,left,left,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.7643835616438356
WRC,WRSH,2021-10-13,45.055111,-62.798873,5.15,4.8981,15.6,18.8,28.8,30.1,2.396,290.5671382041297,242.21034934843496,48.35678885569476,2,0.5819939293496945,3.32529821984487,15.9825,0.4,1.09181621468334,0.9489691000878367,3.6265,0.4,0.5163219837245855,1.0329649400808119,13.6441,4.856609116557948,720.6826875281384,0.719318109889738,0.7093339110509381,0.517324921926578,153.38573234115927,1.2558576841000397,29.3318,9,10,10,0.25765205216431597,1,0.4,2.757385620566099,0.7919,20.066466000000002,2.268756722707535,0.4,0.4,9.339652911245054,1.2695,15.24,0.901,174.5,none,none,none,none,none,none,none,none,none,none,left,none,none,none,left,none,none,none,left,none,none,none,none,none,none,none,none,none,none,none,left,left,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.7835616438356164
WRD,WRSH,2016-04-29,45.053944,-62.80042,3.84,6.13,6.8,NA,15.2,NA,NA,155,136,19,2,0.4,1.99,9,0.0117,0.609,NA,2.0820027,0.4,0.4,0.7,8.688,NA,7,271,NA,0.01,280,0.4,10,9,10,10,0.01,222,0.4,0.01,0.8993904,NA,0.5,0.4,0.4,0.6,NA,7,NA,NA,none,none,none,none,none,none,none,none,none,none,left,left,none,left,none,none,none,none,left,left,left,none,none,left,none,none,left,none,left,left,left,left,left,left,none,left,left,none,none,left,left,left,left,none,none,none,none,0.32786885245901637
WRD,WRSH,2016-06-03,45.053944,-62.80042,4.42,5.68,16.6,NA,21.1,NA,NA,268,243,25,2,0.4,2.56,9,0.0118,0.745,NA,1.8126244,0.4,0.4,0.7,12.4022,NA,530,0.4,NA,0.329,56.4,0.4,10,9,10,10,0.188,1,0.4,1.94,0.63946,NA,2.99,0.4,0.4,5.22,NA,12.5,NA,NA,none,none,none,none,none,none,none,none,none,none,left,left,none,left,none,none,none,none,left,left,left,none,none,none,left,none,none,none,left,left,left,left,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.42349726775956287
WRD,WRSH,2016-06-16,45.053944,-62.80042,4.37,5.19,13.2,NA,20.7,NA,NA,274,242,32,2,0.4,2.67,9,0.0165,0.707,NA,2.4296151,0.4,0.4,0.7,8.7077,NA,592,0.4,NA,0.331,54.1,0.4,10,9,10,10,0.163,1,0.4,2.08,0.5778958,NA,2.45,0.4,0.4,0.6,NA,12.9,NA,NA,none,none,none,none,none,none,none,none,none,none,left,left,none,left,none,none,none,none,left,left,left,none,none,none,left,none,none,none,left,left,left,left,left,none,left,left,none,none,none,none,left,left,left,none,none,none,none,0.45901639344262296
WRD,WRSH,2016-06-28,45.053944,-62.80042,4.83,5.25,22.1,NA,21.5,NA,NA,265,237,28,2,0.4,2.8,12.4209,0.097,0.742,NA,3.1011061,0.4,0.4,0.7,17.3322,NA,588,0.4,NA,0.363,58.9,0.4,73.5975,16.4105,10,10,0.227,1,0.4,2.56,0.9594212999999999,NA,2.4,0.4,0.4,0.6,NA,12.2,NA,NA,none,none,none,none,none,none,none,none,none,none,left,left,none,none,none,none,none,none,left,left,left,none,none,none,left,none,none,none,left,none,none,left,left,none,left,left,none,none,none,none,left,left,left,none,none,none,none,0.4918032786885246
WRD,WRSH,2016-07-15,45.053944,-62.80042,4.58,5.71,20.7,NA,22.9,NA,NA,285,248,37,2,0.4,3.1,9,0.017,0.827,NA,2.8768986,0.4,0.4,0.7,15.4702,NA,609,0.4,NA,0.198,68.3,0.4,30.5869,18.0222,10,10,0.136,1,0.4,2.19,0.7609400000000001,NA,3,0.4,0.4,7.2,NA,15,NA,NA,none,none,none,none,none,none,none,none,none,none,left,left,none,left,none,none,none,none,left,left,left,none,none,none,left,none,none,none,left,none,none,left,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.5382513661202186
WRD,WRSH,2017-04-19,45.053944,-62.80042,3.63,5.6,7.8,NA,19.8,NA,NA,159,142,17,2,0.4,1.95,9,0.0117,0.538,NA,2.47155,0.4,0.4,0.7,9.51,NA,297,0.4,NA,0.271,46.1,2.29,10,24.41,10,10,0.227,1,0.4,1.71,1.20929,NA,0.5,0.4,0.4,5.12,NA,8.23,NA,NA,none,none,none,none,none,none,none,none,none,none,left,left,none,left,none,none,none,none,left,left,left,none,none,none,left,none,none,none,none,left,none,left,left,none,left,left,none,none,none,left,left,left,none,none,none,none,none,0.29863013698630136
WRD,WRSH,2017-04-19,45.053944,-62.80042,3.63,4.87,7.8,NA,19.8,NA,NA,143,116,27,2,0.4,0.5,NA,0.4,0.6,NA,3,0.4,0.4,0.7,9,NA,209,0.4,NA,0.01,44,0.4,10,9,10,NA,NA,1,0.4,0.01,0.3,NA,0.5,0.4,0.4,0.6,NA,10.4,NA,NA,none,none,none,none,none,none,none,none,none,none,left,left,left,none,left,none,none,none,left,left,left,left,none,none,left,none,left,none,left,left,left,left,none,none,left,left,left,left,none,left,left,left,left,none,none,none,none,0.29863013698630136
WRD,WRSH,2017-05-14,45.053944,-62.80042,4.26,5.2,13.4,NA,22.1,NA,NA,192,166,26,2,0.4,2.35,9,0.0144,0.534,NA,2.6418000000000004,0.4,0.4,0.7,31,NA,297,0.4,NA,0.277,46.4,0.4,8.87,15,10,10,0.171,1,0.4,1.73,0.92269,NA,0.5,0.4,0.4,0.6,NA,7.53,NA,NA,none,none,none,none,none,none,none,none,none,none,left,left,none,left,none,none,none,none,left,left,left,none,none,none,left,none,none,none,left,none,none,left,left,none,left,left,none,none,none,left,left,left,left,none,none,none,none,0.36712328767123287
WRD,WRSH,2017-05-14,45.053944,-62.80042,4.26,4.72,13.4,NA,22.1,NA,NA,177,108,69,2,0.4,0.5,NA,0.4,0.6,NA,2,0.4,0.4,0.7,9,NA,254,0.4,NA,0.01,48,0.4,10,9,10,NA,NA,1,0.4,0.01,0.3,NA,0.5,0.4,0.4,0.6,NA,12.1,NA,NA,none,none,none,none,none,none,none,none,none,none,left,left,left,none,left,none,none,none,left,left,left,left,none,none,left,none,left,none,left,left,left,left,none,none,left,left,left,left,none,left,left,left,left,none,none,none,none,0.36712328767123287
WRD,WRSH,2017-05-30,45.053944,-62.80042,4,5.87,14.3,NA,21,NA,NA,248,213,35,2,0.4,2.45,9,0.0152,0.574,NA,2.9176100000000003,0.4,0.4,0.7,9.84,NA,434,0.4,NA,0.31,47.5,0.4,9.25,6.25,10,10,0.132,1,0.4,1.83,2.53601,NA,2.4,0.4,0.4,5.82,NA,10.5,NA,NA,none,none,none,none,none,none,none,none,none,none,left,left,none,left,none,none,none,none,left,left,left,none,none,none,left,none,none,none,left,none,none,left,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.410958904109589
WRD,WRSH,2017-05-30,45.053944,-62.80042,4,4.79,14.3,NA,21,NA,NA,261,224,37,2,0.4,0.5,NA,0.4,0.6,NA,2,0.4,0.4,0.7,9,NA,319,0.4,NA,0.3,39,0.4,10,9,10,30,0.1,1,0.4,2,0.3,NA,2,0.4,0.4,0.6,NA,11.8,NA,NA,none,none,none,none,none,none,none,none,none,none,left,left,left,none,left,none,none,none,left,left,left,left,none,none,left,none,none,none,left,left,left,left,none,none,left,left,none,left,none,none,left,left,left,none,none,none,none,0.410958904109589
WRD,WRSH,2017-06-22,45.053944,-62.80042,4.68,4.78,22.8,NA,20.7,NA,NA,249,149,100,2,0.4,0.5,NA,0.4,0.7,NA,2,0.4,0.4,0.7,9,NA,438,0.4,NA,0.3,56,0.4,10,9,10,40,0.2,1,0.4,2.1,0.3,NA,2,0.4,0.4,0.6,NA,15.2,NA,NA,none,none,none,none,none,none,none,none,none,none,left,left,left,none,left,none,none,none,left,left,left,left,none,none,left,none,none,none,left,left,left,left,none,none,left,left,none,left,none,none,left,left,left,none,none,none,none,0.473972602739726
WRD,WRSH,2017-07-13,45.053944,-62.80042,4.79,4.75,20.6,NA,21,NA,NA,315,253,62,2,0.4,0.5,NA,0.018,0.8,NA,2,0.4,0.4,0.7,9,NA,692,0.4,NA,0.4,67,0.4,10,9,10,40,0.1,1,0.4,2,0.3,NA,3,0.4,0.4,0.6,NA,19.3,NA,NA,none,none,none,none,none,none,none,none,none,none,left,left,left,none,none,none,none,none,left,left,left,left,none,none,left,none,none,none,left,left,left,left,none,none,left,left,none,left,none,none,left,left,left,none,none,none,none,0.5315068493150685
WTBB,WTBB,2022-04-28,44.846738,-62.622378,4.7,5.2227,9.3,16.76,31.2,34.9,-0.3288,197.585,193.274,4.311000000000007,NA,NA,3.175,NA,NA,0.591,NA,5.8,NA,NA,NA,25.3,3,131.288,NA,1.889,0.369,25.386,NA,42.88,NA,43.83,NA,0.283,1,0.4,3.64,1.354,23.3,1.629,0.4,NA,7.954,NA,6.908,1.25,75,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,left,left,none,none,none,none,left,none,none,none,none,none,none,0.3232876712328767
WTBB,WTBB,2022-05-05,44.846738,-62.622378,4.86,5.1544,10.4,13.82,30.7,18.1633,-0.332,219.314,173.342,45.97199999999998,NA,NA,3.727,NA,NA,0.661,NA,5.73,NA,NA,NA,18.56,3.43,158.297,NA,1.842,0.432,30.924,NA,63.22,NA,37.04,NA,0.352,1,0.4,4.269,1.3519,12.1,1.598,0.4,NA,5.275,NA,NA,1.16,72,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,left,left,none,none,none,none,left,none,none,none,none,none,none,0.3424657534246575
WTBB,WTBB,2022-06-07,44.846738,-62.622378,5,5.3598,15.9,18.2133,31,22.3193,-0.1934,215.7671154,166.7560516,49.01106379999999,2,0.4,3.338108191,9,0.4,0.700156692,0.4,5.907,0.4,0.4,0.719620163,16.9465,NA,109.2088581,0.4,3.029807166,0.32052824,25.25289247,0.4,54.6979,9,87.4861,20.70772877,0.411816911,1,0.4,3.521234745,1.329,14.87938454,1.736101129,0.4,0.4,52.10411231,0.67085,5.5375,NA,NA,none,none,none,none,none,none,none,none,none,none,left,left,none,left,left,none,left,none,left,left,none,none,none,none,left,none,none,none,left,none,left,none,none,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.4328767123287671
WTBB,WTBB,2022-08-09,44.846738,-62.622378,5.47,5.4051,21.1,19.1125,32.3,-1.7666,0.3547,207.7681579,185.6750435,22.09311440000002,2,0.4,2.570117333,9.5876,0.4,0.64627848,0.4,5.8228,0.4,0.4,0.7,23.8638,NA,220.3430537,0.4,2.189799307,0.376757882,20.27265068,0.4,142.6977,NA,10,20.79995846,0.274890543,1,0.4,4.08811538,1.2401,-1.177721556,1.387957248,0.4,0.4,9.499216223,0.66025,5.946,0.4315,33.187,none,none,none,none,none,none,none,none,none,none,left,left,none,none,left,none,left,none,left,left,left,none,none,none,left,none,none,none,left,none,none,left,none,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.6054794520547945
WTBB_H1,WTBB,2022-05-05,44.912329,-62.723796,4.39,4.6902,5.3,14.93,36.7,42.6398,-1.4831,169.516,148.652,20.864000000000004,NA,NA,3.496,NA,NA,0.734,NA,10.89,NA,NA,NA,22.04,3.23,208.126,NA,1.477,0.34,22.468,NA,75.7,NA,17.84,NA,0.406,1,0.4,7.072,2.0006,28.4,2.09,0.4,NA,3.653,NA,6.056,0.468,76,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,left,left,none,none,none,none,left,none,none,none,none,none,none,0.3424657534246575
WTBB_Mid,WTBB,2022-05-05,44.854224,-62.640808,4.85,5.1613,10.9,14.36,30.7,18.5629,1.5399,224.338,179.039,45.29900000000001,NA,NA,3.477,NA,NA,0.645,NA,5.79,NA,NA,NA,19.84,3.33,149.892,NA,1.989,0.417,29.972,NA,40.35,NA,NA,11.373,0.332,1,0.4,4.179,1.3325,12.4,1.853,0.4,NA,6.401,NA,6.11,0.664,60,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,left,left,none,none,none,none,left,none,none,none,none,none,none,0.3424657534246575
X0MQ,Musquodoboit,2021-03-30,44.871892,-63.221187,5.91,6.5186,3.6,17.5,41.9,44.2,7.914,129.615,112.334,17.281000000000006,2,0.4,5.807,9,0.4,3.479,0.4,4.5466,0.4,0.4,0.7,14.5113,10.960199,102.396,0.4,0.4,0.552,25.437,0.4,278.5998,9,10,10,0.273,1,0.4,2.232,3.8747,29.46666637,0.943,0.4,0.4,2.539,NA,6.3665,18.9,55.5,none,none,none,none,none,none,none,none,none,none,left,left,none,left,left,none,left,none,left,left,left,none,none,none,left,left,none,none,left,none,left,left,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.24383561643835616
X0MQ,Musquodoboit,2021-04-20,44.871892,-63.221187,6.57,3.3095,8.2,17.1,65.7,71.7,11.716,115.8989477,101.9879516,13.910996099999991,2,0.4,8.697012744,9,0.4,6.866312133,0.4,5.304,0.4,0.4,2.694151988,32.1845,22.1555137,175.9189264,0.4,0.604541146,1.216690699,54.14060752,0.514917446,339.9,9,14.0733,10,0.436209928,1,0.4,3.666968117,9.4479,47.8,0.72112082,0.4,0.4,4.233166759,NA,5.977,1.93,59.5,none,none,none,none,none,none,none,none,none,none,left,left,none,left,left,none,left,none,left,left,none,none,none,none,left,none,none,none,none,none,left,none,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.3013698630136986
X0MQ,Musquodoboit,2021-05-11,44.871892,-63.221187,6,6.2767,9.3,19.1,55.5,62.1,10.988,146.5580578,145.3794329,1.1786248999999884,2,0.4,8.336228538,9,0.4,5.812550869,0.4,4.5472,0.4,0.4,0.832259501,24.3985,19.53272381,211.9513565,0.4,0.941915929,1.218743149,37.83731897,0.576886984,305.8,9,27.9921,10,0.403299586,1,0.4,3.582906995,6.7438,41.399586,0.919663823,0.4,0.4,5.089999562,NA,7.163,1.945,65,none,none,none,none,none,none,none,none,none,none,left,left,none,left,left,none,left,none,left,left,none,none,none,none,left,none,none,none,none,none,left,none,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.3589041095890411
X1AR,Annapolis,2021-04-27,44.766377,-65.398922,6.31,6.22,7,17,34.4,43,3.673,222.6834518,202.59284,20.090611800000005,2,0.457098124,6.215841057,9,0.4,1.63004998,0.4,6.8527,0.438008022,0.4,0.7,44.3033,7.413136473,153.1584181,0.4,1.475626147,0.811777968,5.649878939,0.4,27.5029,9,10,10,0.355633826,1,0.4,5.272192291,1.5713,28.7,1.661707048,0.4,0.494885541,2.592440045,NA,7.864,0.91,87.5,none,none,none,none,none,none,none,none,none,none,left,none,none,left,left,none,left,none,none,left,left,none,none,none,left,none,none,none,left,none,left,left,left,none,left,left,none,none,none,none,left,none,none,none,none,none,none,0.32054794520547947
X1AR,Annapolis,2021-05-18,44.766377,-65.398922,4.94,6.0676,15.2,18.4,31.7,37.8,3.752,223.030046,190.21813,32.811916,2,0.461619205,5.208716722,9,0.4,1.348325487,0.4,5.7063,0.4,0.4,0.968400069,33.4497,6.198778213,144.7418993,0.4,1.39006439,0.687714782,5.633791128,0.4,21.3233,9,172.6,12.19480768,0.316038871,1,0.4,4.419436655,1.2934,25.199748,1.392568744,0.4,0.454365523,11.5612834,NA,8.48,0.416,101,none,none,none,none,none,none,none,none,none,none,left,none,none,left,left,none,left,none,left,left,none,none,none,none,left,none,none,none,left,none,left,none,none,none,left,left,none,none,none,none,left,none,none,none,none,none,none,0.3780821917808219
X1LH,LaHave,2021-03-29,44.43084,-64.60906,NA,5.3406,NA,17.6,NA,34.4,2.711,159.909,141.98,17.929000000000002,2,0.4,2.537,9,0.4,1.215,0.4,5.5128,0.4,0.4,0.926,14.9427,4.746943,168.874,0.4,0.759,0.416,39.999,0.661,131.2118,9,10,10,0.292,1,0.4,3.174,2.3481,22.9,0.701,0.4,0.4,6.002,NA,6.966,2.985,64.5,none,none,none,none,none,none,none,none,none,none,left,left,none,left,left,none,left,none,left,left,none,none,none,none,left,none,none,none,none,none,left,left,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.2410958904109589
X1LH,LaHave,2021-04-19,44.43084,-64.60906,5.31,5.8317,6.5,17.1,30.4,37.2,2.834,143.403,110.322,33.08099999999999,2,0.4,2.629,9,0.4,1.232,0.4,5.3555,0.4,0.4,0.902,16.4506,5.603987962,237.497,0.4,1.028,0.614,38.439,0.904,58.1136,9,10,10,0.334,1,0.4,4.102,2.2318,24.8,0.658,0.4,0.4,5.09,NA,6.2465,0.86,65.5,none,none,none,none,none,none,none,none,none,none,left,left,none,left,left,none,left,none,left,left,none,none,none,none,left,none,none,none,none,none,left,left,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.29863013698630136
X1LH,LaHave,2021-08-16,44.43084,-64.60906,5.62,6.2037,23.6,19.3,30.8,30.8,4.422,65.38400461,51.58239877,13.801605840000008,2,0.619492344,1.272320769,14.2314,0.4,1.289066427,0.4,5.1308,0.4,0.4,0.907116975,11.5269,5.718540147,309.2882391,0.4,1.418042466,0.607027994,35.95235322,0.723342213,103.3995,9,10,10,0.278127176,1,0.4,6.313767996,1.681,20.533128,0.5,0.4,0.4,6.176623752,NA,7.116,0.8225,51.5,none,none,none,none,none,none,none,none,none,none,left,none,none,none,left,none,left,none,left,left,none,none,none,none,left,none,none,none,none,none,left,left,left,none,left,left,none,none,none,left,left,left,none,none,none,none,none,0.6246575342465753
X1LH,LaHave,2021-09-13,44.43084,-64.60906,5.5,6.15,20.1,18.3,NA,35.1,3.653,135.5485927,119.6607396,15.887853100000001,2,0.612278409,2.29364036,17.3046,0.4,1.313402287,0.4,5.1968,0.4,0.4,0.7,18.4168,5.746488656,468.3994718,0.597124728,1.108578839,0.599058559,41.88776863,0.962077728,211.042,9,10,10,0.258308562,1,0.4,3.865649089,1.5729,23.399766,0.575241263,0.4,0.4,12.97684997,NA,8.274,0.718,84,none,none,none,none,none,none,none,none,none,none,left,none,none,none,left,none,left,none,left,left,left,none,none,none,none,none,none,none,none,none,left,left,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.7013698630136986
X1MO,Moser,2021-04-06,45.021479,-62.286077,4.56,3.628,5.8,17,21,22.6,1.357,165.515,162.237,3.2779999999999916,2,0.4,2.755,9,0.4,0.611,0.4,2.7047,0.4,0.4,0.7,14.3278,2.600465,200.117,0.4,0.4,0.261,27.558,0.4,31.7702,9,10,10,0.212,1.148,0.4,3.831,1.0527,15.066516,1.47,0.4,0.4,4.124,NA,7.505,0.965,82.5,none,none,none,none,none,none,none,none,none,none,left,left,none,left,left,none,left,none,left,left,left,none,none,none,left,left,none,none,left,none,left,left,left,none,none,left,none,none,none,none,left,left,none,none,none,none,none,0.26301369863013696
X1MO,Moser,2021-04-22,45.021479,-62.286077,4.41,4.9403,10.8,14.7,20.7,22.1,2.065,192.0592847,150.5651832,41.4941015,2,0.4,3.887977621,9,0.4,0.794190786,0.435360481,2.7914,0.4,0.4,1.317303881,18.5583,3.292118736,268.7061149,0.444793246,0.413367104,0.317878665,49.48395784,0.416475202,20.1428,9,10.1086,10,0.212030422,1,0.4,3.064388207,1.0813,14.7,1.307940502,0.4,0.4,4.744770073,NA,6.7465,1.5,81.5,none,none,none,none,none,none,none,none,none,none,left,left,none,left,left,none,none,none,left,left,none,none,none,none,none,none,none,none,none,none,left,none,left,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.30684931506849317
X1MO,Moser,2022-05-24,45.021479,-62.286077,5.35,5.7633,17.3,18.5475,21.2,-1.5194,0.4248,143.2161597,121.8806464,21.335513299999988,2,0.4,3.007597589,9,0.4,0.857719596,0.4,3.5637,0.4,0.4,0.7,9,NA,211.5761941,0.4,0.554631478,0.301149999,51.88781811,0.4,47.5428,9,117.8068,17.23152359,0.259725322,1,0.4,2.505747787,1.1418,-1.012923204,1.565342462,0.4,0.4,9.688532158,0.8484,5.737,1.0265,41.535,none,none,none,none,none,none,none,none,none,none,left,left,none,left,left,none,left,none,left,left,left,left,none,none,left,none,none,none,left,none,left,none,none,none,left,left,none,none,none,none,left,left,none,none,none,none,none,0.39452054794520547
